asset_id,sonyci_id,media_type,asset_type,level_of_user_access,broadcast_date,created_date,consolidated_title,proxy_duration
cpb-aacip-4071f72dd46,9eb0c8d876214c53a36d376cf2a228a1,Moving Image,Episode,Online Reading Room,,1986-01-13,Illustrated Daily: No. 6057: Auto Emissions,00:29:44.838
cpb-aacip-b45eb62bd60,52e9440277e94733900f5be22a0a146b,Moving Image,Episode,Online Reading Room,,1998-11-27,New Mexico in Focus: No. 2009: Micro Credit,00:27:09.350
cpb-aacip-f551104e446,af51ee4f53904bdda0081e6aeeda7cbd,Moving Image,Episode,Online Reading Room,,1991-04-12,At Week's End: No. 426: Health Care in New Mexico,00:29:41.502
